Requirement,Primary spec,API/contract,Backlog,Tests
Deterministic route,05_RULE_ENGINE_SPEC.md,RouteResolveRequest/RouteResolution,"WB-030..035, WB-052","T1,T2,T3,T7"
Temporal/jurisdiction correctness,04_DOMAIN_MODEL.md,rule.schema.json,"WB-031, WB-091..094",boundary/conflict fixtures
Source provenance,06_SOURCE_GOVERNANCE.md,SourceClaim,"WB-040..045, WB-090..095",T8
Freshness fail-closed,05_RULE_ENGINE_SPEC.md,ConfidenceState,"WB-033, WB-045",freshness matrix
Journey/checklist,"02_PRD.md,03_UX_FLOWS.md",Journey endpoints,"WB-053..055, WB-073..077",contract/UI/E2E
Local documents,10_SECURITY_PRIVACY.md,DocumentAnalysisInput,WB-080..085,"T5,T9"
Curator review/publish,06_SOURCE_GOVERNANCE.md,Curator endpoints,WB-060..065,T6
Privacy rights,10_SECURITY_PRIVACY.md,journey delete + privacy service,WB-114..115,DSAR/delete E2E
Official routing,02_PRD.md,Source/Integration states,WB-100..103,deep-link/security
Accessibility,11_DESIGN_SYSTEM.md,n/a,WB-071..077,TalkBack/font scale
Operations/recovery,17_DEPLOYMENT_RUNBOOK.md,health endpoints,WB-120..135,load/chaos/restore
